Gene Set	BLCA	BRCA	COAD	GBM	HNSC	KIRC	LAML	LUAD	LUSC	OV	READ	UCEC	Average p-value
PID_NEPHRIN_NEPH1_PATHWAY	0.97	0.59	0.84	0.05	0.90	0.96	0.67	0.41	0.82	0.11	0.74	0.91	0.664166666667
REACTOME_SEMA3A_PAK_DEPENDENT_AXON_REPULSION	0.34	0.65	0.95	0.12	0.66	0.83	0.21	0.82	0.55	0.99	0.86	1.00	0.665
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS_	0.81	1.00	0.62	1.00	0.91	0.96	1.00	1.00	0.16	0.00	0.02	0.50	0.665
REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS	0.26	0.46	0.51	0.83	0.93	0.56	1.00	0.09	1.00	0.89	0.55	0.91	0.665833333333
KEGG_LEISHMANIA_INFECTION	0.88	0.50	0.18	0.79	0.97	0.15	0.81	0.82	0.82	0.32	0.95	0.80	0.665833333333
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING	0.15	0.86	0.96	0.51	0.42	0.24	0.88	0.96	0.82	0.97	0.58	0.66	0.6675
BIOCARTA_EGF_PATHWAY	0.97	0.42	0.75	0.40	0.96	0.70	0.67	0.69	0.66	0.44	0.35	1.00	0.6675
REACTOME_IL_3_5_AND_GM_CSF_SIGNALING	0.77	0.28	0.84	0.51	0.84	0.73	0.92	0.29	0.61	0.34	0.94	0.95	0.668333333333
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	0.59	0.75	0.28	0.72	0.99	0.20	0.82	0.12	1.00	1.00	0.59	0.96	0.668333333333
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.77	0.83	0.58	0.59	0.21	0.12	0.92	0.85	0.32	0.93	0.90	1.00	0.668333333333
PID_AVB3_INTEGRIN_PATHWAY	0.40	0.07	0.91	0.94	0.96	0.15	0.81	0.25	0.95	0.83	0.84	0.91	0.668333333333
KEGG_BLADDER_CANCER	0.57	0.82	0.36	0.86	0.42	0.24	0.67	0.83	0.70	0.60	0.96	0.99	0.668333333333
REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS	0.92	0.83	0.57	0.06	0.13	0.37	0.90	0.94	0.62	0.94	0.75	1.00	0.669166666667
BIOCARTA_CDC42RAC_PATHWAY	0.20	0.99	0.91	1.00	0.77	1.00	0.33	0.43	0.08	0.89	0.64	0.79	0.669166666667
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.54	0.37	0.94	0.87	0.80	0.10	0.93	0.89	0.48	0.27	0.86	0.98	0.669166666667
PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY	0.15	0.82	0.65	0.72	0.77	0.92	0.67	0.54	0.77	0.46	0.64	0.93	0.67
REACTOME_PHASE_II_CONJUGATION	0.72	0.36	0.83	0.17	0.91	0.32	0.97	0.82	0.91	0.90	0.64	0.50	0.670833333333
PID_SYNDECAN_1_PATHWAY	1.00	0.22	0.36	1.00	0.87	0.12	0.67	0.24	0.99	0.73	0.95	0.91	0.671666666667
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	0.39	0.66	0.59	1.00	0.97	0.71	0.62	0.52	0.85	0.81	0.41	0.54	0.6725
BIOCARTA_TOLL_PATHWAY	0.97	0.85	0.07	1.00	0.86	0.60	0.90	0.54	0.99	0.49	0.33	0.48	0.673333333333
REACTOME_PROLONGED_ERK_ACTIVATION_EVENTS	0.35	0.94	0.51	0.44	0.63	0.83	0.90	0.91	0.81	0.87	0.42	0.47	0.673333333333
PID_CXCR4_PATHWAY	0.58	0.23	0.79	1.00	0.81	0.58	0.93	0.60	0.91	0.42	0.48	0.77	0.675
REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION	0.69	0.98	0.04	0.59	0.56	0.29	0.91	0.99	0.82	0.93	0.43	0.87	0.675
REACTOME_PROSTACYCLIN_SIGNALLING_THROUGH_PROSTACYCLIN_RECEPTOR	0.85	0.71	0.84	0.23	0.75	0.49	0.56	0.97	0.97	1.00	0.38	0.36	0.675833333333
KEGG_HEDGEHOG_SIGNALING_PATHWAY	0.61	0.66	0.85	1.00	0.08	0.97	0.99	0.37	0.47	0.83	0.80	0.48	0.675833333333
REACTOME_THE_ROLE_OF_NEF_IN_HIV1_REPLICATION_AND_DISEASE_PATHOGENESIS	0.70	1.00	0.49	0.07	1.00	0.26	0.67	1.00	0.82	0.77	0.94	0.39	0.675833333333
PID_PDGFRAPATHWAY	0.95	0.79	0.89	0.27	0.66	0.79	0.46	0.84	0.46	0.24	0.80	0.96	0.675833333333
PID_IL8CXCR2_PATHWAY	0.67	0.97	0.61	0.43	0.42	0.93	0.67	0.17	0.69	0.97	0.70	0.89	0.676666666667
BIOCARTA_GATA3_PATHWAY	0.70	0.05	0.94	0.88	0.97	0.60	0.70	0.28	0.96	0.75	0.64	0.65	0.676666666667
REACTOME_TRNA_AMINOACYLATION	0.51	0.83	0.61	0.99	1.00	0.76	0.67	0.88	0.84	0.03	0.58	0.42	0.676666666667
SA_MMP_CYTOKINE_CONNECTION	0.35	0.96	0.47	1.00	0.31	0.96	0.21	0.98	1.00	0.28	0.63	0.98	0.6775
REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS	0.29	0.88	0.01	0.38	0.98	0.58	0.99	0.16	1.00	0.87	0.99	1.00	0.6775
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	0.89	0.66	0.11	0.39	0.79	0.30	0.95	0.79	0.49	0.79	0.97	1.00	0.6775
BIOCARTA_RARRXR_PATHWAY	0.13	0.84	0.45	0.58	0.68	0.98	1.00	0.93	0.27	0.93	0.73	0.64	0.68
REACTOME_AMINO_ACID_AND_OLIGOPEPTIDE_SLC_TRANSPORTERS	0.15	0.86	0.96	0.46	0.89	0.31	0.67	0.83	0.82	0.99	0.24	0.99	0.680833333333
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	0.98	0.67	0.17	0.27	0.75	0.38	0.83	0.86	0.97	0.92	0.38	1.00	0.681666666667
REACTOME_HEMOSTASIS	0.15	0.72	0.65	0.59	0.69	0.63	1.00	0.89	0.83	0.29	0.84	0.90	0.681666666667
BIOCARTA_CSK_PATHWAY	0.83	0.53	0.68	0.70	0.97	0.84	0.21	0.96	1.00	0.42	0.44	0.61	0.6825
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	1.00	0.94	0.06	0.70	1.00	0.23	0.67	0.92	0.66	0.49	0.94	0.59	0.683333333333
PID_NFAT_TFPATHWAY	0.55	0.08	0.86	0.97	0.79	0.59	0.67	0.87	0.54	0.32	0.98	0.99	0.684166666667
KEGG_FOCAL_ADHESION	0.88	0.06	0.66	0.53	1.00	0.39	1.00	0.92	0.18	0.91	0.72	0.96	0.684166666667
BIOCARTA_PYK2_PATHWAY	0.40	0.93	0.89	0.26	0.55	0.58	0.67	0.95	0.58	0.99	0.42	1.00	0.685
PID_ARF6_PATHWAY	0.55	0.82	0.22	0.88	0.56	0.68	0.67	0.52	0.82	0.85	0.85	0.80	0.685
SA_PTEN_PATHWAY	0.92	0.90	0.54	0.93	0.86	0.31	0.21	0.91	0.75	0.50	0.75	0.64	0.685
PID_S1P_S1P3_PATHWAY	0.22	0.84	0.18	0.90	0.68	0.59	0.67	0.90	0.90	0.88	0.87	0.61	0.686666666667
REACTOME_DEVELOPMENTAL_BIOLOGY	0.86	0.39	0.26	0.99	0.76	0.72	1.00	0.95	0.61	0.68	0.10	0.92	0.686666666667
BIOCARTA_PML_PATHWAY	0.81	0.61	0.84	1.00	0.46	0.59	0.21	0.59	0.94	0.79	0.56	0.85	0.6875
REACTOME_GAB1_SIGNALOSOME	0.34	0.45	0.71	1.00	0.96	0.95	0.88	0.67	0.70	0.49	0.47	0.64	0.688333333333
PID_RXR_VDR_PATHWAY	0.63	0.48	0.38	1.00	0.46	0.26	0.95	0.93	0.73	0.75	0.69	1.00	0.688333333333
REACTOME_SIGNALING_BY_ILS	0.58	0.24	0.70	0.97	0.96	0.41	1.00	0.39	0.65	0.65	0.97	0.75	0.689166666667
REACTOME_SIGNALING_BY_FGFR_MUTANTS	0.74	0.85	0.91	0.63	0.82	0.36	0.92	0.59	0.73	0.49	0.94	0.29	0.689166666667
REACTOME_SEMA3A_PLEXIN_REPULSION_SIGNALING_BY_INHIBITING_INTEGRIN_ADHESION	0.86	0.64	0.84	0.45	0.73	0.76	0.21	0.36	0.96	0.88	0.59	0.99	0.689166666667
REACTOME_MICRORNA_MIRNA_BIOGENESIS	0.84	0.53	0.81	0.88	0.75	0.97	0.21	0.88	0.80	0.50	0.64	0.47	0.69
KEGG_ENDOMETRIAL_CANCER	0.77	0.88	0.12	0.25	0.97	0.74	0.81	0.82	0.68	0.71	0.73	0.81	0.690833333333
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC	0.92	0.83	0.75	0.42	0.27	1.00	0.94	0.94	0.72	0.63	0.67	0.21	0.691666666667
BIOCARTA_VEGF_PATHWAY	0.80	0.83	0.41	0.16	0.92	0.46	0.67	0.88	0.70	0.75	0.88	0.84	0.691666666667
REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING	1.00	0.84	0.09	0.78	0.91	0.34	0.67	0.74	0.99	0.44	0.58	0.93	0.6925
KEGG_ABC_TRANSPORTERS	0.86	0.32	0.71	0.85	1.00	0.84	0.67	0.45	0.86	0.57	0.56	0.62	0.6925
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	0.85	0.97	0.35	1.00	0.88	0.27	0.53	0.98	0.93	0.92	0.32	0.32	0.693333333333
SA_TRKA_RECEPTOR	0.85	0.68	0.94	1.00	0.46	0.69	0.70	0.71	0.84	0.11	0.44	0.90	0.693333333333
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.31	0.81	0.88	0.62	0.89	0.67	0.79	0.27	0.72	0.69	0.85	0.83	0.694166666667
REACTOME_SYNTHESIS_SECRETION_AND_DEACYLATION_OF_GHRELIN	1.00	1.00	0.81	0.43	0.07	1.00	0.81	0.98	1.00	0.33	0.79	0.13	0.695833333333
PID_INTEGRIN5_PATHWAY	0.35	0.63	0.94	0.74	0.64	0.61	0.21	0.58	0.96	0.75	0.98	0.96	0.695833333333
SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES	0.63	0.48	0.25	0.78	1.00	0.83	0.67	0.26	0.78	0.75	0.98	0.94	0.695833333333
PID_RETINOIC_ACID_PATHWAY	0.51	0.86	0.09	0.72	0.92	0.50	0.67	0.68	0.82	0.87	0.93	0.79	0.696666666667
REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION	0.99	0.48	0.91	0.12	0.61	0.66	0.67	0.90	0.91	0.97	0.42	0.72	0.696666666667
REACTOME_ACTIVATION_OF_RAC	0.60	0.99	0.87	0.42	0.45	0.84	0.47	0.82	0.46	0.89	0.59	0.96	0.696666666667
PID_P38ALPHABETAPATHWAY	0.67	0.98	0.71	0.21	0.96	0.87	0.67	0.95	0.67	0.87	0.32	0.48	0.696666666667
REACTOME_IRON_UPTAKE_AND_TRANSPORT	0.69	0.92	0.34	0.65	0.91	0.87	0.93	0.95	0.22	0.10	0.99	0.80	0.6975
REACTOME_SIGNALING_BY_INSULIN_RECEPTOR	0.47	0.67	0.43	0.87	0.80	0.98	0.99	0.85	0.48	0.58	0.80	0.45	0.6975
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	0.09	0.61	0.29	0.31	0.86	0.47	0.98	0.90	0.95	1.00	0.93	1.00	0.699166666667
PID_EPOPATHWAY	0.99	0.31	0.62	0.41	0.92	0.87	0.88	0.51	0.66	0.80	0.79	0.64	0.7
BIOCARTA_PS1_PATHWAY	0.83	0.66	0.40	0.86	0.86	0.38	0.74	0.78	0.72	0.99	0.20	0.98	0.7
PID_CDC42_REG_PATHWAY	0.72	0.76	0.86	0.18	0.92	0.96	0.67	0.77	0.69	0.87	0.03	0.98	0.700833333333
REACTOME_POST_NMDA_RECEPTOR_ACTIVATION_EVENTS	0.30	0.85	0.29	0.59	0.50	0.87	0.67	0.88	0.97	0.97	0.59	0.93	0.700833333333
BIOCARTA_ARAP_PATHWAY	0.69	0.68	0.84	0.59	0.25	0.95	0.48	0.92	0.97	0.58	0.89	0.59	0.7025
REACTOME_INTERFERON_GAMMA_SIGNALING	0.89	1.00	0.49	0.09	0.99	0.60	0.81	0.70	0.65	0.74	0.72	0.76	0.703333333333
REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_DAI	0.97	0.65	0.61	0.69	0.75	0.42	1.00	0.56	0.94	0.84	0.26	0.76	0.704166666667
PID_AP1_PATHWAY	0.77	0.67	0.71	0.14	0.93	0.75	0.81	0.91	0.76	0.53	0.94	0.54	0.705
KEGG_CALCIUM_SIGNALING_PATHWAY	0.86	0.46	0.30	0.23	0.58	0.42	1.00	0.80	0.99	1.00	0.82	1.00	0.705
BIOCARTA_IL22BP_PATHWAY	0.97	0.30	0.53	0.81	0.96	0.43	0.21	0.92	0.93	0.94	0.63	0.85	0.706666666667
REACTOME_NOD1_2_SIGNALING_PATHWAY	0.86	0.72	0.91	0.92	1.00	0.87	0.67	0.50	0.38	0.28	0.79	0.59	0.7075
REACTOME_ACTIVATION_OF_NMDA_RECEPTOR_UPON_GLUTAMATE_BINDING_AND_POSTSYNAPTIC_EVENTS	0.25	0.93	0.46	0.59	0.49	0.87	0.67	0.83	0.96	0.97	0.57	0.91	0.708333333333
BIOCARTA_ATM_PATHWAY	0.81	0.76	0.69	0.83	0.66	0.71	0.94	0.75	0.45	0.65	0.29	0.98	0.71
KEGG_BASE_EXCISION_REPAIR	0.82	0.98	0.07	0.64	1.00	0.89	0.67	1.00	1.00	0.75	0.32	0.39	0.710833333333
REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE	0.66	0.62	0.42	0.83	0.52	0.89	0.99	0.75	0.86	0.85	0.73	0.41	0.710833333333
REACTOME_P75NTR_SIGNALS_VIA_NFKB	0.79	0.99	0.82	0.86	0.75	0.90	0.94	0.71	0.09	0.23	0.62	0.84	0.711666666667
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	0.55	0.79	0.84	1.00	1.00	0.87	0.67	0.95	0.86	0.03	0.47	0.51	0.711666666667
PID_RAS_PATHWAY	1.00	0.91	0.25	0.76	0.79	0.48	0.67	0.98	0.97	0.41	0.87	0.46	0.7125
PID_VEGFR1_PATHWAY	0.63	0.93	0.49	0.51	1.00	0.58	0.67	0.50	0.61	1.00	0.63	1.00	0.7125
REACTOME_GLOBAL_GENOMIC_NER_GG_NER	0.97	0.95	0.53	0.62	0.90	1.00	0.67	1.00	0.56	0.97	0.36	0.02	0.7125
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	0.79	0.62	0.96	0.15	0.97	0.34	0.91	0.76	1.00	0.97	0.45	0.64	0.713333333333
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.89	0.84	0.76	0.35	0.93	0.05	0.91	0.34	0.71	0.88	0.97	0.97	0.716666666667
REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES	0.10	0.88	0.66	0.43	1.00	0.44	0.91	0.76	0.66	1.00	0.79	0.97	0.716666666667
BIOCARTA_IL10_PATHWAY	0.66	0.54	0.53	0.83	0.98	0.18	0.81	0.65	0.93	0.82	0.70	0.98	0.7175
REACTOME_TIE2_SIGNALING	0.69	0.89	0.82	0.90	0.81	0.93	0.26	0.16	0.85	0.54	0.79	0.97	0.7175
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	0.31	0.24	0.64	0.97	1.00	0.76	0.99	0.61	0.60	1.00	0.57	0.94	0.719166666667
PID_ATR_PATHWAY	0.81	0.95	0.89	0.50	0.82	1.00	0.95	0.58	0.59	0.53	0.31	0.70	0.719166666667
PID_IL2_1PATHWAY	0.16	0.66	0.85	0.08	0.98	0.99	0.81	0.72	0.76	0.83	0.82	0.98	0.72
PID_ANTHRAXPATHWAY	0.90	0.90	0.49	1.00	0.79	0.76	0.68	0.65	0.62	0.58	0.89	0.39	0.720833333333
REACTOME_OXYGEN_DEPENDENT_PROLINE_HYDROXYLATION_OF_HYPOXIA_INDUCIBLE_FACTOR_ALPHA	0.68	0.79	0.94	0.86	0.75	0.76	0.86	0.43	0.47	0.63	0.68	0.80	0.720833333333
REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY	0.78	0.99	0.84	0.20	0.19	1.00	1.00	0.94	0.79	0.79	0.80	0.33	0.720833333333
REACTOME_RAP1_SIGNALLING	0.69	0.99	0.81	0.48	1.00	1.00	0.21	0.36	0.93	0.81	0.76	0.61	0.720833333333
REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING	0.41	0.46	0.75	1.00	0.92	1.00	0.95	0.87	0.55	0.46	0.59	0.70	0.721666666667
KEGG_PROPANOATE_METABOLISM	0.67	0.82	0.60	0.75	0.98	0.10	0.67	0.76	0.90	1.00	0.82	0.59	0.721666666667
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE	0.99	0.87	0.55	1.00	0.86	0.76	0.36	0.93	0.24	0.79	0.70	0.63	0.723333333333
KEGG_MELANOMA	0.89	0.43	0.80	0.33	0.98	0.15	0.91	0.52	0.96	0.83	0.92	0.96	0.723333333333
BIOCARTA_GABA_PATHWAY	0.04	1.00	0.71	0.64	0.84	1.00	0.86	0.95	0.17	0.91	0.61	0.95	0.723333333333
REACTOME_DOUBLE_STRAND_BREAK_REPAIR	0.78	0.77	0.95	0.74	0.82	0.55	1.00	0.57	0.46	0.56	0.86	0.63	0.724166666667
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	0.71	0.65	0.83	0.86	0.96	0.84	0.21	1.00	0.56	0.82	0.46	0.79	0.724166666667
BIOCARTA_TEL_PATHWAY	0.78	0.41	0.69	0.53	0.79	0.75	1.00	0.63	0.88	0.90	0.50	0.84	0.725
REACTOME_RNA_POL_III_TRANSCRIPTION	0.70	0.66	0.93	0.77	1.00	1.00	0.67	1.00	0.21	0.10	0.87	0.79	0.725
REACTOME_RNA_POL_III_TRANSCRIPTION_TERMINATION	0.83	0.30	0.95	0.54	0.97	0.88	0.62	0.89	0.80	0.28	0.79	0.85	0.725
KEGG_MISMATCH_REPAIR	0.92	0.54	0.84	0.69	0.76	0.84	0.21	0.86	0.91	0.93	0.53	0.68	0.725833333333
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.32	0.74	0.42	0.97	0.92	0.99	0.81	0.54	0.47	0.74	0.82	0.98	0.726666666667
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.72	0.74	0.30	0.50	0.99	0.38	0.99	0.98	0.24	0.96	0.94	0.99	0.7275
PID_AURORA_B_PATHWAY	0.17	0.99	0.86	0.82	0.93	0.66	0.95	0.97	0.49	0.76	0.42	0.71	0.7275
REACTOME_NEGATIVE_REGULATION_OF_FGFR_SIGNALING	0.13	0.96	0.34	0.61	0.92	0.81	0.92	1.00	0.80	0.68	0.63	0.94	0.728333333333
PID_LPA4_PATHWAY	0.90	0.65	0.48	0.45	0.73	0.97	0.94	0.51	0.78	0.93	0.44	0.96	0.728333333333
REACTOME_GLUCOSE_TRANSPORT	0.97	0.73	0.84	1.00	0.92	0.87	0.67	0.98	0.73	0.10	0.47	0.46	0.728333333333
PID_P38GAMMADELTAPATHWAY	0.71	0.89	0.84	0.34	0.93	0.56	0.87	0.94	0.52	0.69	0.82	0.64	0.729166666667
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY	0.62	0.86	0.76	0.93	0.82	0.67	0.66	0.89	0.81	0.67	0.67	0.39	0.729166666667
REACTOME_CHROMOSOME_MAINTENANCE	0.93	0.96	1.00	1.00	0.47	1.00	0.93	0.97	0.89	0.06	0.51	0.03	0.729166666667
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_	0.97	0.89	0.97	0.38	0.76	0.26	0.91	0.94	0.91	0.73	0.40	0.65	0.730833333333
REACTOME_CD28_CO_STIMULATION	0.58	0.86	0.86	0.94	1.00	0.47	0.67	0.64	0.73	0.92	0.32	0.79	0.731666666667
PID_TRAIL_PATHWAY	0.97	0.61	0.28	0.72	0.81	0.83	0.67	0.45	0.99	0.62	0.94	0.89	0.731666666667
PID_GLYPICAN_1PATHWAY	0.86	0.38	0.65	0.38	0.99	0.04	0.77	0.92	0.99	0.99	0.82	1.00	0.7325
PID_INTEGRIN3_PATHWAY	0.97	0.42	0.53	0.69	0.91	0.04	1.00	0.59	0.99	0.80	0.97	0.88	0.7325
REACTOME_NETRIN1_SIGNALING	0.20	0.99	0.97	0.04	0.92	0.76	0.67	0.68	0.95	0.97	0.85	0.79	0.7325
REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS	0.97	0.55	0.65	1.00	1.00	0.87	0.97	1.00	0.90	0.14	0.47	0.28	0.733333333333
BIOCARTA_GH_PATHWAY	0.74	0.59	0.84	0.26	1.00	0.66	0.67	0.91	0.82	0.56	0.75	1.00	0.733333333333
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.40	0.66	0.81	0.94	0.96	0.33	0.81	0.85	0.88	0.20	1.00	0.96	0.733333333333
REACTOME_INSULIN_SYNTHESIS_AND_PROCESSING	0.88	0.55	0.61	0.62	0.85	0.92	0.90	0.02	0.95	0.99	0.56	0.96	0.734166666667
PID_EPHRINBREVPATHWAY	0.58	0.96	0.25	0.45	0.84	1.00	0.67	0.59	0.90	1.00	0.57	1.00	0.734166666667
REACTOME_INHIBITION_OF_VOLTAGE_GATED_CA2_CHANNELS_VIA_GBETA_GAMMA_SUBUNITS	0.69	0.61	0.96	0.22	0.75	0.31	0.68	0.98	0.96	0.89	0.92	0.84	0.734166666667
REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK	0.95	0.93	0.67	0.42	0.94	0.47	0.79	0.83	0.99	0.64	0.51	0.67	0.734166666667
PID_REELINPATHWAY	0.65	0.69	0.71	0.25	0.89	0.48	0.67	0.91	0.93	0.90	0.86	0.87	0.734166666667
BIOCARTA_G1_PATHWAY	0.55	0.75	0.61	1.00	0.92	0.41	0.67	0.97	0.91	0.80	0.63	0.59	0.734166666667
PID_IGF1_PATHWAY	0.63	0.82	0.73	0.62	0.79	0.34	0.67	0.87	0.82	0.91	0.63	0.99	0.735
KEGG_OTHER_GLYCAN_DEGRADATION	0.86	0.99	0.31	1.00	0.82	1.00	0.26	0.96	1.00	0.71	0.08	0.85	0.736666666667
REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS	0.68	0.36	0.82	0.83	0.86	0.50	0.62	0.79	0.87	0.99	0.57	0.95	0.736666666667
BIOCARTA_D4GDI_PATHWAY	1.00	0.61	0.26	0.88	0.95	0.49	0.21	0.86	0.95	0.89	0.76	0.98	0.736666666667
BIOCARTA_PITX2_PATHWAY	0.56	0.99	0.40	0.68	0.97	0.79	0.70	0.79	0.87	0.75	0.43	0.93	0.738333333333
BIOCARTA_CARM1_PATHWAY	0.25	0.77	0.74	0.80	0.73	0.90	0.94	0.96	0.96	0.75	0.49	0.57	0.738333333333
REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM	0.32	0.83	0.38	0.87	1.00	0.29	0.97	0.80	0.86	1.00	0.55	1.00	0.739166666667
BIOCARTA_CCR5_PATHWAY	0.94	0.24	0.99	0.09	0.91	0.84	0.21	0.88	0.97	1.00	0.90	0.90	0.739166666667
REACTOME_G1_S_SPECIFIC_TRANSCRIPTION	0.57	0.98	0.81	1.00	0.97	0.82	1.00	0.94	0.56	0.50	0.55	0.17	0.739166666667
KEGG_BASAL_CELL_CARCINOMA	0.91	0.55	0.87	0.82	0.90	0.74	0.99	0.75	0.85	0.43	0.72	0.35	0.74
ST_GAQ_PATHWAY	0.85	0.93	0.34	0.92	0.83	0.37	0.67	0.59	0.70	0.97	0.72	0.99	0.74
BIOCARTA_HSP27_PATHWAY	0.30	0.60	0.91	1.00	0.85	0.39	0.21	0.89	1.00	0.92	0.82	1.00	0.740833333333
REACTOME_DCC_MEDIATED_ATTRACTIVE_SIGNALING	0.51	0.99	0.90	0.74	0.97	0.83	0.21	0.98	0.88	0.99	0.44	0.47	0.7425
REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY	0.58	0.97	0.62	1.00	0.97	0.57	0.26	1.00	0.97	0.89	0.08	1.00	0.7425
REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE	0.17	0.58	0.84	0.99	0.86	0.50	0.79	0.94	0.97	0.59	0.93	0.76	0.743333333333
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.97	0.50	0.96	0.23	0.45	0.73	0.91	0.49	0.68	1.00	1.00	1.00	0.743333333333
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	0.83	0.76	0.67	0.13	1.00	0.99	0.95	0.97	0.64	1.00	0.23	0.76	0.744166666667
KEGG_PRION_DISEASES	0.65	0.96	0.60	0.33	1.00	0.92	0.95	0.64	0.99	0.32	0.61	0.96	0.744166666667
REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE	0.64	0.29	0.92	0.33	0.91	0.32	0.91	0.93	1.00	1.00	0.68	1.00	0.744166666667
REACTOME_ERKS_ARE_INACTIVATED	0.97	0.98	0.99	0.22	0.10	0.41	0.99	0.80	0.90	0.93	0.98	0.66	0.744166666667
REACTOME_RNA_POL_I_TRANSCRIPTION	1.00	1.00	0.96	0.99	1.00	0.85	1.00	1.00	0.91	0.10	0.12	0.00	0.744166666667
PID_ATF2_PATHWAY	0.31	0.95	0.89	0.74	1.00	0.77	0.81	0.64	0.94	0.11	0.79	0.98	0.744166666667
BIOCARTA_AGR_PATHWAY	0.72	0.95	0.85	0.40	0.74	0.38	0.67	0.76	0.73	0.87	0.87	1.00	0.745
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	0.97	0.83	0.89	0.15	0.41	0.12	0.97	0.99	0.72	0.97	0.94	1.00	0.746666666667
BIOCARTA_P53_PATHWAY	0.22	0.65	0.84	1.00	0.82	0.85	0.91	0.73	0.90	0.51	0.66	0.87	0.746666666667
REACTOME_AMINO_ACID_SYNTHESIS_AND_INTERCONVERSION_TRANSAMINATION	0.71	0.37	0.88	0.84	0.93	0.51	0.94	0.44	0.88	0.90	0.97	0.61	0.748333333333
BIOCARTA_TRKA_PATHWAY	0.91	0.77	0.84	0.28	0.86	0.98	0.21	0.86	0.97	0.99	0.33	0.99	0.749166666667
KEGG_O_GLYCAN_BIOSYNTHESIS	0.77	0.65	0.19	0.38	1.00	0.26	1.00	0.77	1.00	0.97	1.00	1.00	0.749166666667
REACTOME_CRMPS_IN_SEMA3A_SIGNALING	0.98	0.77	0.84	0.31	0.26	0.98	0.21	0.89	0.88	0.90	0.97	1.00	0.749166666667
BIOCARTA_VIP_PATHWAY	1.00	0.96	0.64	0.40	1.00	0.51	0.92	0.88	0.99	0.70	0.01	0.99	0.75
REACTOME_ARMS_MEDIATED_ACTIVATION	0.25	0.99	0.62	0.83	0.73	0.84	1.00	0.96	0.84	0.92	0.49	0.54	0.750833333333
